ID,Game_ID,Team,Line,Book,Home_Team,Away_Team,Start_Time,League,Line_Update,WinProbability,BookB,TeamB,LineB,WinProbabilityB,CombineWinProbability,WagerB,PayoutB,WagerA,PayoutA,CombineWager,CombinePayuot,MinimumNetPayout,WagerARounded,PayoutARounded,CombineWagerRounded,CombinePayuotRounded,MinimumNetPayoutRounded
1842b608a5e738700b9ec806f5890abc,16,Milwaukee Brewers,2.8,draftkings,Tampa Bay Rays,Milwaukee Brewers,2023-05-20 16:10:00,MLB,2023-05-19 22:34:05,0.35714285714285715,pointsbetus,Tampa Bay Rays,1.53,0.6535947712418301,1.0107376283846872,100,153.0,54.642857142857146,153.0,154.64285714285714,306.0,-1.6428571428571388,55.0,154.0,155.0,307.0,-2.0
c3b0350752fc7a7e6aae082009603aff,2,Oakland Athletics,26.0,betmgm,Houston Astros,Oakland Athletics,2023-05-19 20:10:00,MLB,2023-05-19 22:34:21,0.038461538461538464,pointsbetus,Houston Astros,1.02,0.9803921568627451,1.0188536953242835,100,102.0,3.923076923076923,102.0,103.92307692307692,204.0,-1.9230769230769198,4.0,104.0,104.0,206.0,-2.0
c3b0350752fc7a7e6aae082009603aff,2,Oakland Athletics,26.0,betmgm,Houston Astros,Oakland Athletics,2023-05-19 20:10:00,MLB,2023-05-19 22:34:21,0.038461538461538464,fanduel,Houston Astros,1.02,0.9803921568627451,1.0188536953242835,100,102.0,3.923076923076923,102.0,103.92307692307692,204.0,-1.9230769230769198,4.0,104.0,104.0,206.0,-2.0
8e7bc3a287071b73f6bb6331f42ee7db,12,Detroit Tigers,2.0,wynnbet,Washington Nationals,Detroit Tigers,2023-05-20 16:05:00,MLB,2023-05-19 22:32:31,0.5,fanduel,Washington Nationals,1.96,0.5102040816326531,1.010204081632653,100,196.0,98.0,196.0,198.0,392.0,-2.0,98.0,196.0,198.0,392.0,-2.0
8e7bc3a287071b73f6bb6331f42ee7db,12,Washington Nationals,1.96,fanduel,Washington Nationals,Detroit Tigers,2023-05-20 16:05:00,MLB,2023-05-19 22:34:11,0.5102040816326531,wynnbet,Detroit Tigers,2.0,0.5,1.010204081632653,100,200.0,102.04081632653062,200.0,202.0408163265306,400.0,-2.040816326530603,102.0,199.92,202.0,399.91999999999996,-2.0800000000000125
cb17f99c96dea1465070c51cca44d7dc,10,Chicago Cubs,2.46,fanduel,Philadelphia Phillies,Chicago Cubs,2023-05-20 16:05:00,MLB,2023-05-19 22:34:11,0.4065040650406504,betus,Philadelphia Phillies,1.65,0.6060606060606061,1.0125646711012566,100,165.0,67.07317073170732,165.0,167.0731707317073,330.0,-2.0731707317073074,67.0,164.82,167.0,329.82,-2.180000000000007
cb17f99c96dea1465070c51cca44d7dc,10,Chicago Cubs,2.5,betrivers,Philadelphia Phillies,Chicago Cubs,2023-05-20 16:05:00,MLB,2023-05-19 22:34:15,0.4,wynnbet,Philadelphia Phillies,1.63,0.6134969325153374,1.0134969325153373,100,163.0,65.2,163.0,165.2,326.0,-2.1999999999999886,65.0,162.5,165.0,325.5,-2.5
39af70ee8cdc4ac5884a0071f63e812a,6,Miami Marlins,2.25,pointsbetus,San Francisco Giants,Miami Marlins,2023-05-19 22:15:00,MLB,2023-05-19 22:33:33,0.4444444444444444,fanduel,San Francisco Giants,1.76,0.5681818181818182,1.0126262626262625,100,176.0,78.22222222222223,176.0,178.22222222222223,352.0,-2.2222222222222285,78.0,175.5,178.0,351.5,-2.5
9a3fb9ba8bc4a0f35b0ccbd6c0c6ae91,7,Kansas City Royals,2.65,wynnbet,Chicago White Sox,Kansas City Royals,2023-05-20 14:10:00,MLB,2023-05-19 22:32:31,0.37735849056603776,betus,Chicago White Sox,1.57,0.6369426751592356,1.0143011657252734,100,157.0,59.24528301886793,157.0,159.24528301886792,314.0,-2.245283018867923,59.0,156.35,159.0,313.35,-2.6500000000000057
cb17f99c96dea1465070c51cca44d7dc,10,Chicago Cubs,2.45,wynnbet,Philadelphia Phillies,Chicago Cubs,2023-05-20 16:05:00,MLB,2023-05-19 22:32:31,0.4081632653061224,betus,Philadelphia Phillies,1.65,0.6060606060606061,1.0142238713667284,100,165.0,67.3469387755102,165.0,167.34693877551018,330.0,-2.346938775510182,67.0,164.15,167.0,329.15,-2.8499999999999943
