ID,Game_ID,Team,Line,Book,Home_Team,Away_Team,Start_Time,League,Line_Update
c85afa0b4cf351a9f23f9384556fbd80,0,Los Angeles Angels,1.02,draftkings,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:19:14
c85afa0b4cf351a9f23f9384556fbd80,0,Minnesota Twins,14.0,draftkings,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:19:14
c85afa0b4cf351a9f23f9384556fbd80,0,Los Angeles Angels,1.02,fanduel,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:18:57
c85afa0b4cf351a9f23f9384556fbd80,0,Minnesota Twins,19.0,fanduel,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:18:57
c85afa0b4cf351a9f23f9384556fbd80,0,Los Angeles Angels,1.01,betmgm,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:19:44
c85afa0b4cf351a9f23f9384556fbd80,0,Minnesota Twins,29.0,betmgm,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:19:44
c85afa0b4cf351a9f23f9384556fbd80,0,Los Angeles Angels,1.01,unibet_us,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:18:57
c85afa0b4cf351a9f23f9384556fbd80,0,Minnesota Twins,16.0,unibet_us,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:18:57
c85afa0b4cf351a9f23f9384556fbd80,0,Los Angeles Angels,1.07,twinspires,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:18:47
c85afa0b4cf351a9f23f9384556fbd80,0,Minnesota Twins,8.0,twinspires,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:18:47
c85afa0b4cf351a9f23f9384556fbd80,0,Los Angeles Angels,1.07,sugarhouse,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:18:39
c85afa0b4cf351a9f23f9384556fbd80,0,Minnesota Twins,7.0,sugarhouse,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:18:39
c85afa0b4cf351a9f23f9384556fbd80,0,Los Angeles Angels,1.01,barstool,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:19:11
c85afa0b4cf351a9f23f9384556fbd80,0,Minnesota Twins,16.0,barstool,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:19:11
c85afa0b4cf351a9f23f9384556fbd80,0,Los Angeles Angels,1.14,foxbet,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:21:41
c85afa0b4cf351a9f23f9384556fbd80,0,Minnesota Twins,5.0,foxbet,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:21:41
c85afa0b4cf351a9f23f9384556fbd80,0,Los Angeles Angels,1.35,mybookieag,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:24:06
c85afa0b4cf351a9f23f9384556fbd80,0,Minnesota Twins,3.1,mybookieag,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:24:06
c85afa0b4cf351a9f23f9384556fbd80,0,Los Angeles Angels,1.03,pointsbetus,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:19:04
c85afa0b4cf351a9f23f9384556fbd80,0,Minnesota Twins,14.0,pointsbetus,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:19:04
39af70ee8cdc4ac5884a0071f63e812a,1,Miami Marlins,8.5,draftkings,San Francisco Giants,Miami Marlins,2023-05-19 22:15:00,MLB,2023-05-20 00:27:32
39af70ee8cdc4ac5884a0071f63e812a,1,San Francisco Giants,1.08,draftkings,San Francisco Giants,Miami Marlins,2023-05-19 22:15:00,MLB,2023-05-20 00:27:32
39af70ee8cdc4ac5884a0071f63e812a,1,Miami Marlins,9.0,bovada,San Francisco Giants,Miami Marlins,2023-05-19 22:15:00,MLB,2023-05-20 00:31:54
39af70ee8cdc4ac5884a0071f63e812a,1,San Francisco Giants,1.06,bovada,San Francisco Giants,Miami Marlins,2023-05-19 22:15:00,MLB,2023-05-20 00:31:54
39af70ee8cdc4ac5884a0071f63e812a,1,Miami Marlins,10.6,fanduel,San Francisco Giants,Miami Marlins,2023-05-19 22:15:00,MLB,2023-05-20 00:28:37
39af70ee8cdc4ac5884a0071f63e812a,1,San Francisco Giants,1.05,fanduel,San Francisco Giants,Miami Marlins,2023-05-19 22:15:00,MLB,2023-05-20 00:28:37
39af70ee8cdc4ac5884a0071f63e812a,1,Miami Marlins,8.33,circasports,San Francisco Giants,Miami Marlins,2023-05-19 22:15:00,MLB,2023-05-20 00:25:42
39af70ee8cdc4ac5884a0071f63e812a,1,San Francisco Giants,1.08,circasports,San Francisco Giants,Miami Marlins,2023-05-19 22:15:00,MLB,2023-05-20 00:25:42
39af70ee8cdc4ac5884a0071f63e812a,1,Miami Marlins,8.25,betmgm,San Francisco Giants,Miami Marlins,2023-05-19 22:15:00,MLB,2023-05-20 00:31:54
39af70ee8cdc4ac5884a0071f63e812a,1,San Francisco Giants,1.06,betmgm,San Francisco Giants,Miami Marlins,2023-05-19 22:15:00,MLB,2023-05-20 00:31:54
39af70ee8cdc4ac5884a0071f63e812a,1,Miami Marlins,9.5,twinspires,San Francisco Giants,Miami Marlins,2023-05-19 22:15:00,MLB,2023-05-20 00:31:51
39af70ee8cdc4ac5884a0071f63e812a,1,San Francisco Giants,1.05,twinspires,San Francisco Giants,Miami Marlins,2023-05-19 22:15:00,MLB,2023-05-20 00:31:51
39af70ee8cdc4ac5884a0071f63e812a,1,Miami Marlins,8.5,sugarhouse,San Francisco Giants,Miami Marlins,2023-05-19 22:15:00,MLB,2023-05-20 00:31:43
39af70ee8cdc4ac5884a0071f63e812a,1,San Francisco Giants,1.05,sugarhouse,San Francisco Giants,Miami Marlins,2023-05-19 22:15:00,MLB,2023-05-20 00:31:43
