ID,Game_ID,Team,Line,Book,Home_Team,Away_Team,Start_Time,League,Line_Update,WinProbability,BookB,TeamB,LineB,WinProbabilityB,CombineWinProbability,WagerB,PayoutB,WagerA,PayoutA,CombineWager,CombinePayuot,MinimumNetPayout,MaximumNetPayout,WagerARounded,PayoutARounded,CombineWagerRounded,CombinePayuotRounded,MinimumNetPayoutRounded,MaximumNetPayoutRounded
c85afa0b4cf351a9f23f9384556fbd80,0,Minnesota Twins,16.0,barstool,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:19:11,0.0625,unibet_us,Los Angeles Angels,1.01,0.9900990099009901,1.05259900990099,100,101.0,6.3125,101.0,106.3125,202.0,-5.3125,-5.3125,6.0,96.0,106.0,197.0,-10.0,-10.0
c85afa0b4cf351a9f23f9384556fbd80,0,Minnesota Twins,16.0,barstool,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:19:11,0.0625,twinspires,Los Angeles Angels,1.07,0.9345794392523364,0.9970794392523364,100,107.0,6.6875,107.0,106.6875,214.0,0.3125,0.3125,7.0,112.0,107.0,219.0,0.0,0.0
c85afa0b4cf351a9f23f9384556fbd80,0,Minnesota Twins,16.0,barstool,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:19:11,0.0625,sugarhouse,Los Angeles Angels,1.07,0.9345794392523364,0.9970794392523364,100,107.0,6.6875,107.0,106.6875,214.0,0.3125,0.3125,7.0,112.0,107.0,219.0,0.0,0.0
c85afa0b4cf351a9f23f9384556fbd80,0,Minnesota Twins,16.0,barstool,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:19:11,0.0625,foxbet,Los Angeles Angels,1.14,0.8771929824561404,0.9396929824561404,100,113.99999999999999,7.124999999999999,113.99999999999999,107.125,227.99999999999997,6.874999999999986,6.874999999999986,7.0,112.0,107.0,226.0,5.0,5.0
c85afa0b4cf351a9f23f9384556fbd80,0,Minnesota Twins,16.0,barstool,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:19:11,0.0625,mybookieag,Los Angeles Angels,1.35,0.7407407407407407,0.8032407407407407,100,135.0,8.4375,135.0,108.4375,270.0,26.5625,26.5625,8.0,128.0,108.0,263.0,20.0,20.0
c85afa0b4cf351a9f23f9384556fbd80,0,Minnesota Twins,16.0,barstool,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:19:11,0.0625,pointsbetus,Los Angeles Angels,1.03,0.970873786407767,1.033373786407767,100,103.0,6.4375,103.0,106.4375,206.0,-3.4375,-3.4375,6.0,96.0,106.0,199.0,-10.0,-10.0
c85afa0b4cf351a9f23f9384556fbd80,0,Los Angeles Angels,1.01,betmgm,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:19:44,0.9900990099009901,draftkings,Minnesota Twins,14.0,0.07142857142857142,1.0615275813295615,100,1400.0,1386.1386138613861,1400.0,1486.1386138613861,2800.0,-86.13861386138615,-86.13861386138615,1386.0,1399.86,1486.0,2799.8599999999997,-86.1400000000001,-86.1400000000001
c85afa0b4cf351a9f23f9384556fbd80,0,Los Angeles Angels,1.01,betmgm,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:19:44,0.9900990099009901,fanduel,Minnesota Twins,19.0,0.05263157894736842,1.0427305888483585,100,1900.0,1881.1881188118812,1900.0,1981.1881188118812,3800.0,-81.18811881188117,-81.18811881188117,1881.0,1899.81,1981.0,3799.81,-81.19000000000005,-81.19000000000005
c85afa0b4cf351a9f23f9384556fbd80,0,Los Angeles Angels,1.01,betmgm,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:19:44,0.9900990099009901,unibet_us,Minnesota Twins,16.0,0.0625,1.05259900990099,100,1600.0,1584.1584158415842,1600.0,1684.1584158415842,3200.0,-84.1584158415842,-84.1584158415842,1584.0,1599.84,1684.0,3199.84,-84.16000000000008,-84.16000000000008
c85afa0b4cf351a9f23f9384556fbd80,0,Los Angeles Angels,1.01,betmgm,Los Angeles Angels,Minnesota Twins,2023-05-19 21:38:00,MLB,2023-05-20 00:19:44,0.9900990099009901,twinspires,Minnesota Twins,8.0,0.125,1.11509900990099,100,800.0,792.0792079207921,800.0,892.0792079207921,1600.0,-92.0792079207921,-92.0792079207921,792.0,799.92,892.0,1599.92,-92.08000000000004,-92.08000000000004
